disciplina_id;gran_area_codigo;gran_area_descripcion;area_codigo;area_descripcion;disciplina_codigo;disciplina_descripcion
-1;-1;SIN DATOS;-1;SIN DATOS;-1;SIN DATOS
1;1;CIENCIAS NATURALES Y EXACTAS;1.0;SIN DATOS;1.0.0;SIN DATOS
2;1;CIENCIAS NATURALES Y EXACTAS;1.1;Matemáticas;1.1.0;SIN DATOS
3;1;CIENCIAS NATURALES Y EXACTAS;1.1;Matemáticas;1.1.1;Matemática Pura
4;1;CIENCIAS NATURALES Y EXACTAS;1.1;Matemáticas;1.1.2;Matemática Aplicada
5;1;CIENCIAS NATURALES Y EXACTAS;1.1;Matemáticas;1.1.3;Estadística y Probabilidad
6;1;CIENCIAS NATURALES Y EXACTAS;1.2;Ciencias de la Computación e Información;1.2.0;SIN DATOS
7;1;CIENCIAS NATURALES Y EXACTAS;1.2;Ciencias de la Computación e Información;1.2.1;Ciencias de la Computación
8;1;CIENCIAS NATURALES Y EXACTAS;1.2;Ciencias de la Computación e Información;1.2.2;"Ciencias de la Información y Bioinformática (desarrollo de hardware va en 2.2 ""Ingeniería Eléctrica, Electrónica y de Información"" y los aspectos sociales van en 5.8 ""Comunicación y Medios"")"
9;1;CIENCIAS NATURALES Y EXACTAS;1.3;Ciencias Físicas;1.3.0;SIN DATOS
10;1;CIENCIAS NATURALES Y EXACTAS;1.3;Ciencias Físicas;1.3.1;Física Atómica, Molecular y Química (física de átomos y moléculas incluyendo colisión, interacción con radiación, resonancia magnética, Moessbauer Efecto.)
11;1;CIENCIAS NATURALES Y EXACTAS;1.3;Ciencias Físicas;1.3.2;Física de los Materiales Condensados
12;1;CIENCIAS NATURALES Y EXACTAS;1.3;Ciencias Físicas;1.3.3;Física de Partículas y Campos
13;1;CIENCIAS NATURALES Y EXACTAS;1.3;Ciencias Físicas;1.3.4;Física Nuclear
14;1;CIENCIAS NATURALES Y EXACTAS;1.3;Ciencias Físicas;1.3.5;Física de los Fluidos y Plasma
15;1;CIENCIAS NATURALES Y EXACTAS;1.3;Ciencias Físicas;1.3.6;Óptica (incluida Óptica Láser y Óptica Cuántica), Acústica
